ligand	receptor
F7	F2rl1
F7	F3
F8	Asgr2
F8	Ldlr
F8	Lrp1
F9	Lrp1
Fadd	Fas
Fadd	Tnfrsf10b
Fadd	Tnfrsf1a
Fadd	Tradd
Fasl	Fas
Fat4	Dchs1
Fbln1	Itgb1
Fbln2	Itgb3
Fbn1	Itga5
Fbn1	Itgav
Fbn1	Itgb1
Fbn1	Itgb3
Fcer2a	Cr2
Fcer2a	Itgam
Fcer2a	Itgav
Fcer2a	Itgax
Fcer2a	Itgb2
Fcer2a	Itgb3
Fcnb	Lrp1
Fga	Cdh5
Fga	Itga2b
Fga	Itga5
Fga	Itgam
Fga	Itgav
Fga	Itgax
Fga	Itgb1
Fga	Itgb2
Fga	Itgb3
Fga	Tlr4
Fgb	Itga2b
Fgb	Itga5
Fgb	Itgam
Fgb	Itgav
Fgb	Itgb1
Fgb	Itgb2
Fgf10	Fgfr1
Fgf10	Fgfr2
Fgf10	Fgfr3
Fgf11	Fgfr1
Fgf11	Fgfr2
Fgf11	Fgfr3
Fgf11	Fgfr4
Fgf12	Fgfr1
Fgf12	Fgfr2
Fgf12	Fgfr3
Fgf12	Fgfr4
Fgf13	Fgfr1
Fgf13	Fgfr2
Fgf13	Fgfr3
Fgf13	Fgfr4
Fgf13	Scn5a
Fgf13	Scn8a
Fgf14	Fgfr1
Fgf14	Fgfr2
Fgf14	Fgfr3
Fgf14	Fgfr4
Fgf15	Fgfr1
Fgf15	Fgfr2
Fgf15	Fgfr3
Fgf15	Fgfr4
Fgf15	Klb
Fgf16	Fgfr1
Fgf16	Fgfr2
Fgf16	Fgfr3
Fgf16	Fgfr4
Fgf17	Fgfr1
Fgf17	Fgfr2
Fgf17	Fgfr3
Fgf17	Fgfr4
Fgf18	Fgfr1
Fgf18	Fgfr2
Fgf18	Fgfr3
Fgf18	Fgfr4
Fgf1	Cd44
Fgf1	Fgfr1
Fgf1	Fgfr2
Fgf1	Fgfr3
Fgf1	Fgfr4
Fgf1	Nrp1
Fgf20	Fgfr1
Fgf20	Fgfr2
Fgf20	Fgfr3
Fgf20	Fgfr4
Fgf21	Fgfr1
Fgf21	Fgfr2
Fgf21	Fgfr3
Fgf21	Fgfr4
Fgf21	Klb
Fgf22	Fgfr1
Fgf22	Fgfr2
Fgf23	Fgfr1
Fgf23	Fgfr2
Fgf23	Fgfr3
Fgf23	Fgfr4
Fgf23	Kl
Fgf23	Phex
Fgf2	Cd44
Fgf2	Fgfr1
Fgf2	Fgfr2
Fgf2	Fgfr3
Fgf2	Fgfr4
Fgf2	Fgfrl1
Fgf2	Gpc4
Fgf2	Itgav
Fgf2	Itgb3
Fgf2	Kit
Fgf2	Lyve1
Fgf2	Notch1
Fgf2	Nrp1
Fgf2	Ptprz1
Fgf2	Sdc1
Fgf2	Sdc2
Fgf2	Sdc3
Fgf2	Sdc4
Fgf3	Fgfr1
Fgf3	Fgfr2
Fgf3	Fgfr3
Fgf3	Fgfr4
Fgf4	Fgfr1
Fgf4	Fgfr2
Fgf4	Fgfr3
Fgf4	Fgfr4
Fgf4	Nrp1
Fgf5	Fgfr1
Fgf5	Fgfr2
Fgf5	Fgfr3
Fgf5	Fgfr4
Fgf6	Fgfr1
Fgf6	Fgfr2
Fgf6	Fgfr3
Fgf6	Fgfr4
Fgf7	Fgfr1
Fgf7	Fgfr2
Fgf7	Fgfr3
Fgf7	Fgfr4
Fgf7	Nrp1
Fgf8	Fgfr1
Fgf8	Fgfr2
Fgf8	Fgfr3
Fgf8	Fgfr4
Fgf8	Fgfrl1
Fgf9	Fgfr1
Fgf9	Fgfr2
Fgf9	Fgfr3
Fgf9	Fgfr4
Fgg	Itga2b
Fgg	Itga5
Fgg	Itgav
Fgg	Itgb1
Fgg	Itgb2
Fgl1	Egfr
Fgl1	Lag3
Flt3l	Flt3
Fn1	Cd44
Fn1	Cd79a
Fn1	Col13a1
Fn1	Flrt2
Fn1	Itga2
Fn1	Itga2b
Fn1	Itga3
Fn1	Itga4
Fn1	Itga5
Fn1	Itga8
Fn1	Itga9
Fn1	Itgav
Fn1	Itgb1
Fn1	Itgb3
Fn1	Itgb6
Fn1	Itgb7
Fn1	Itgb8
Fn1	Mag
Fn1	Nt5e
Fn1	Plaur
Fn1	Sdc1
Fn1	Sdc2
Fn1	Sdc4
Fn1	Tmprss6
Fn1	Tnfrsf11b
Fn1	Tshr
Fras1	Itgb1
Frem1	Itga8
Frem2	Itga8
Fshb	Fshr
Fyn	Cd244a
Fyn	Spn
Fyn	Thy1
Gal	Galr1
Gal	Galr2
Gal	Galr3
Gal	Gpr151
Galp	Galr1
Galp	Galr2
Galp	Galr3
Gas6	Axl
Gas6	Mertk
Gas6	Tyro3
Gast	Cckbr
Gc	Lrp2
Gcg	Dpp4
Gcg	Gcgr
Gcg	Gipr
Gcg	Glp1r
Gcg	Glp2r
Gdf10	Acvr1
Gdf10	Acvr1b
Gdf10	Acvr2a
Gdf10	Bmpr1a
Gdf10	Bmpr1b
Gdf11	Acvr1b
Gdf11	Acvr1c
Gdf11	Acvr2a
Gdf11	Acvr2b
Gdf11	Tgfbr1
Gdf15	Egfr
Gdf15	Gfral
Gdf15	Ret
Gdf15	Tgfbr1
Gdf15	Tgfbr2
Gdf1	Acvr1b
Gdf1	Acvr1c
Gdf1	Acvr2a
Gdf1	Acvr2b
Gdf1	Cfc1
Gdf2	Acvr1
Gdf2	Acvr2a
Gdf2	Acvr2b
Gdf2	Acvrl1
Gdf2	Alk
Gdf2	Bmpr2
Gdf2	Eng
Gdf3	Acvr1b
Gdf3	Acvr1c
Gdf3	Acvr2a
Gdf3	Acvr2b
Gdf3	Cfc1
Gdf3	Tgfbr1
Gdf5	Acvr1
Gdf5	Acvr2a
Gdf5	Acvr2b
Gdf5	Bmpr1a
Gdf5	Bmpr1b
Gdf5	Bmpr2
Gdf5	Ror2
Gdf6	Acvr2a
Gdf6	Acvr2b
Gdf6	Bmpr1a
Gdf6	Bmpr1b
Gdf6	Bmpr2
Gdf7	Acvr2a
Gdf7	Acvr2b
Gdf7	Bmpr1a
Gdf7	Bmpr1b
Gdf7	Bmpr2
Gdf9	Acvr1b
Gdf9	Acvr1c
Gdf9	Acvr2a
Gdf9	Bmpr1a
Gdf9	Bmpr1b
Gdf9	Bmpr2
Gdf9	Fxyd6
Gdf9	Orai2
Gdf9	Tgfbr1
Gdnf	Gfra1
Gdnf	Gfra2
Gdnf	Gfra3
Gdnf	Gfra4
Gdnf	Ret
Gdnf	Sdc3
Gdnf	Sorl1
Gh	Ghr
Gh	Prlr
Ghrh	Ghrhr
Ghrh	Ghsr
Ghrh	Vipr1
Ghrh	Vipr2
Ghrl	Ghrhr
Ghrl	Ghsr
Ghrl	Gpr39
Gip	Dpp4
Gip	Gipr
Prss3l	F2r
Prss3l	F2rl1
Prss3l	F2rl2
Prss3l	F2rl3
Prss3l	Pard3
Gm10499	Aplp2
Gm10499	Cd8a
Gm10499	Cd8b1
Gm10499	Erbb2
Gm10499	Kir3dl1
Gm10499	Kir3dl2
Gm10591	Ackr2
H2-T27	Cd8a
H2-T27	Cd8b1
Gm13304	Ackr2
Gm13304	Ackr4
Gm13304	Ccr7
Gm13304	Cxcr3
Gm13306	Ackr2
Gm13306	Ccr10
Ccl21d	Ackr2
Ccl21d	Ackr4
H2-T25	Cd8a
H2-T25	Cd8b1
H2-T26	Aplp2
H2-T26	Cd8a
H2-T26	Cd8b1
H2-T26	Erbb2
H2-T26	Kir3dl1
H2-T26	Kir3dl2
Gnai2	Adcy1
Gnai2	Adora1
Gnai2	Adra2a
Gnai2	Adra2b
Gnai2	Agtr2
Gnai2	C5ar1
Gnai2	Cav1
Gnai2	Ccr5
Gnai2	Chrm1
Gnai2	Cnr1
Gnai2	Cxcr1
Gnai2	Cxcr2
Gnai2	Drd2
Gnai2	Ednra
Gnai2	Egfr
Gnai2	F2r
Gnai2	Fpr1
Gnai2	Igf1r
Gnai2	Lhcgr
Gnai2	Lpar3
Gnai2	Mtnr1a
Gnai2	Mtnr1b
Gnai2	Oprd1
Gnai2	Oprm1
Gnai2	P2ry12
Gnai2	Ptpru
Gnai2	Tbxa2r
Gnai2	Tshr
Gnas	Adora1
Gnas	Adrb3
Gnas	Avpr2
Gnas	Crhr1
Gnas	Gcgr
Gnas	Htr6
Gnas	Lhcgr
Gnas	Ptgdr
Gnas	Ptgir
Gnas	Pth1r
Gnas	Tshr
Gnas	Vipr1
Gnb1	Kcnj6
Gnb2	Kcnj6
Gnb3	Kcnj6
Gnb3	Tgfbr1
Gnb4	Kcnj6
Gnb5	Kcnj6
Gng10	Kcnj6
Gng11	Kcnj6
Gng12	Kcnj6
Gng13	Kcnj6
Gng2	Kcnj6
Gng3	Kcnj6
Gng4	Kcnj6
Gng5	Kcnj6
Gng7	Kcnj6
Gng8	Kcnj6
Gnrh1	Gnrhr
Gp1ba	Itgam
Gp1ba	Itgb2
Gpc3	Cd81
Gpc3	Igf1r
Gpha2	Tshr
Gpi1	Amfr
Grn	Sort1
Grn	Tnfrsf1a
Grn	Tnfrsf1b
Grp	Brs3
Grp	Grpr
Grp	Nmbr
Gstp1	Traf2
Gstp2	Traf2
Gstp3	Traf2
Guca2a	Gucy2c
Guca2b	Gucy2c
Guca2b	Gucy2e
Gzma	F2r
Gzma	F2rl1
Gzma	F2rl2
Gzma	F2rl3
Gzma	Pard3
Gzme	Chrm3
Gzme	Igf2r
H2-Aa	Cd4
H2-Aa	Lag3
H2-Ab1	Cd4
H2-Ab1	Lag3
H2-Bl	Aplp2
H2-Bl	Cd8a
H2-Bl	Cd8b1
H2-Bl	Erbb2
H2-Bl	Kir3dl1
H2-Bl	Kir3dl2
H2-D1	Aplp2
H2-D1	Cd8a
H2-D1	Cd8b1
H2-D1	Erbb2
H2-D1	Kir3dl1
H2-D1	Kir3dl2
H2-D	Klra
H2-DMa	Cd4
H2-DMb1	Cd4
H2-DMb2	Cd4
H2-Ea	Lag3
H2-Ea	Cd4
H2-Eb1	Cd4
H2-Eb1	Lag3
H2-K1	Aplp2
H2-K1	Cd8a
H2-K1	Cd8b1
H2-K1	Erbb2
H2-K1	Kir3dl1
H2-K1	Kir3dl2
H2-K1	Klra
H2-L	Cd8a
H2-L	Cd8b1
H2-M10.1	Cd8a
H2-M10.1	Cd8b1
H2-M10.2	Cd8a
H2-M10.2	Cd8b1
H2-M10.3	Cd8a
H2-M10.3	Cd8b1
H2-M10.4	Cd8a
H2-M10.4	Cd8b1
H2-M10.5	Cd8a
H2-M10.5	Cd8b1
H2-M10.6	Cd8a
H2-M10.6	Cd8b1
H2-M11	Cd8a
H2-M11	Cd8b1
H2-M1	Cd8a
H2-M1	Cd8b1
H2-M2	Cd8a
H2-M2	Cd8b1
H2-M3	Cd8a
H2-M3	Cd8b1
H2-M3	Klrc1
H2-M3	Klrd1
H2-M5	Cd8a
H2-M5	Cd8b1
H2-M9	Cd8a
H2-M9	Cd8b1
H2-Oa	Cd4
H2-Ob	Cd4
H2-Q10	Aplp2
H2-Q10	Cd8a
H2-Q10	Cd8b1
H2-Q10	Erbb2
H2-Q10	Kir3dl1
H2-Q10	Kir3dl2
H2-Q1	Aplp2
H2-Q1	Cd8a
H2-Q1	Cd8b1
H2-Q1	Erbb2
H2-Q1	Kir3dl1
H2-Q1	Kir3dl2
H2-Q2	Aplp2
H2-Q2	Cd8a
H2-Q2	Cd8b1
H2-Q2	Erbb2
H2-Q2	Kir3dl1
H2-Q2	Kir3dl2
H2-Q4	Aplp2
H2-Q4	Cd8a
H2-Q4	Cd8b1
H2-Q4	Erbb2
H2-Q4	Kir3dl1
H2-Q4	Kir3dl2
H2-Q6	Aplp2
H2-Q6	Cd8a
H2-Q6	Cd8b1
H2-Q6	Erbb2
H2-Q6	Kir3dl1
H2-Q6	Kir3dl2
H2-Q7	Aplp2
H2-Q7	Cd8a
H2-Q7	Cd8b1
H2-Q7	Erbb2
H2-Q7	Kir3dl1
H2-Q7	Kir3dl2
H2-Q8	Cd8a
H2-Q8	Cd8b1
H2-Q9	Cd8a
H2-Q9	Cd8b1
H2-T-ps	Cd8a
H2-T-ps	Cd8b1
H2-T-ps	Klrc1
H2-T-ps	Klrc2
H2-T-ps	Klrd1
H2-T10	Cd8a
H2-T10	Cd8b1
H2-T18	Cd8a
H2-T18	Cd8b1
H2-T22	Cd8a
H2-T22	Cd8b1
H2-T23	Cd8a
H2-T23	Cd8b1
H2-T23	Klrc1
H2-T23	Klrc2
H2-T23	Klrd1
H2-T24	Cd8a
H2-T24	Cd8b1
H2-T3	Cd8a
H2-T3	Cd8b1
H2-T9	Cd8a
H2-T9	Cd8b1
H60a	Klrk1
Has2	Cd44
Has2	Hmmr
Havcr1	Havcr1
Hbegf	Cd44
Hbegf	Cd82
Hbegf	Cd9
Hbegf	Egfr
Hbegf	Erbb2
Hbegf	Erbb3
Hbegf	Erbb4
Hc	C5ar1
Hc	C5ar2
Hcrt	Hcrtr1
Hcrt	Hcrtr2
Hcrt	Npffr2
Hebp1	Fpr3
Hgf	Cd44
Hgf	Itgb1
Hgf	Met
Hgf	Nrp1
Hgf	Nrp2
Hgf	Plxnb1
Hgf	Sdc1
Hgf	Sdc2
Hgf	St14
Hmgb1	Ager
Hmgb1	Cxcr4
Hmgb1	Havcr2
Hmgb1	Itgam
Hmgb1	Itgav
Hmgb1	Itgb3
Hmgb1	Ly96
Hmgb1	Sdc1
Hmgb1	Thbd
Hmgb1	Tlr1
Hmgb1	Tlr2
Hmgb1	Tlr4
Hmgb1	Tlr9
Hp	Itgam
Hp	Itgb2
Hpx	Lrp1
Hras	Agtr1b
Hras	Cav1
Hras	Grin2d
Hras	Insr
Hras	Tlr2
Hras	Tlr9
Hrg	Erbb2
Hrg	Erbb3
Hrg	Fcgr1
Hsp90aa1	Cftr
Hsp90aa1	Egfr
Hsp90aa1	Fgfr3
Hsp90aa1	Lrp1
Hsp90b1	Lrp1
Hsp90b1	Lrp6
Hsp90b1	Pparg
Hsp90b1	Tlr2
Hsp90b1	Tlr4
Hsp90b1	Tlr9
Hspa1b	Lrp1
Hspa8	Aqp2
Hspg2	Col13a1
Hspg2	Dag1
Hspg2	Itga2
Hspg2	Itgb1
Hspg2	Ptprs
Htra2	Cd40
Iapp	Calcr
Iapp	Calcrl
Iapp	Ramp1
Iapp	Ramp2
Iapp	Ramp3
Ibsp	Itgav
Ibsp	Itgb3
Ibsp	Itgb5
Icam1	Ahr
Icam1	Egfr
Icam1	Il2ra
Icam1	Il2rg
Icam1	Itgal
Icam1	Itgam
Icam1	Itgav
Icam1	Itgax
Icam1	Itgb2
Icam1	Itgb2l
Icam1	Muc1
Icam1	Spn
Icam2	Itgal
Icam2	Itgam
Icam2	Itgb2
Icam2	Itgb2l
Icam4	Itga2b
Icam4	Itga4
Icam4	Itgal
Icam4	Itgam
Icam4	Itgav
Icam4	Itgb1
Icam4	Itgb2
Icam4	Itgb3
Icam4	Rhag
Icam5	Cd209a
Icam5	Cd209f
Icam5	Itgal
Icam5	Itgb2
Icosl	Cd28
Icosl	Ctla4
Icosl	Icos
Ifna11	Ifnar1
Ifna11	Ifnar2
Ifna12	Ifnar1
Ifna12	Ifnar2
Ifna13	Ifnar1
Ifna13	Ifnar2
Ifna14	Ifnar1
Ifna14	Ifnar2
Ifna15	Ifnar1
Ifna15	Ifnar2
Ifna16	Ifnar1
Ifna16	Ifnar2
Ifna1	Ifnar1
Ifna1	Ifnar2
Ifna2	Ifnar1
Ifna2	Ifnar2
Ifna4	Ifnar1
Ifna4	Ifnar2
Ifna5	Ifnar1
Ifna5	Ifnar2
Ifna6	Ifnar1
Ifna6	Ifnar2
Ifna7	Ifnar1
Ifna7	Ifnar2
Ifna9	Ifnar1
Ifna9	Ifnar2
Ifna	Ifnar1
Ifna	Ifnar2
Ifnab	Ifnar1
Ifnab	Ifnar2
Ifnb1	Ifnar1
Ifnb1	Ifnar2
Ifne	Ifnar1
Ifne	Ifnar2
Ifng	Ifngr1
Ifng	Ifngr2
Ifnk	Ifnar1
Ifnk	Ifnar2
Ifnl2	Ifnlr1
Ifnl2	Il10rb
Ifnl3	Ifnlr1
Ifnl3	Il10rb
Igf1	Igf1r
Igf1	Insr
Igf1	Itga6
Igf1	Itgav
Igf1	Itgb3
Igf1	Itgb4
Igf2	Igf1r
Igf2	Igf2r
Igf2	Insr
Igf2	Itga6
Igf2	Itgav
Igf2	Itgb3
Igf2	Itgb4
Igfbp4	Fzd8
Igfbp4	Lrp6
Igfbp5	Cav1
Igfl3	Igflr1
Ihh	Boc
Ihh	Cdon
Ihh	Gpc1
Ihh	Hhip
Ihh	Ptch1
Ihh	Ptch2
Ihh	Smo
Il10	Il10ra
Il10	Il10rb
Il11	Gm13305
Il11	Il11ra1
Il11	Il11ra2
Il11	Il6st
Il12a	Cd28
Il12a	Il12rb1
Il12a	Il12rb2
Il12b	Il12rb1
Il12b	Il12rb2
Il12b	Il23r
Il13	Il13ra1
Il13	Il13ra2
Il13	Il2rg
Il13	Il4ra
Il15	Il11ra1
Il15	Il15ra
Il15	Il2ra
Il15	Il2rb
Il15	Il2rg
Il16	Cd4
Il16	Grin2c
Il16	Grin2d
Il16	Kcna3
Il16	Kcnd1
Il16	Kcnd2
Il16	Kcnj10
Il16	Kcnj15
Il16	Kcnj4
Il17a	Il17ra
Il17a	Il17rc
Il17a	Il17rd
Il17b	Il17rb
Il17c	Il17ra
Il17c	Il17re
Il17f	Il17ra
Il17f	Il17rc
Il18	Il18bp
Il18	Il18r1
Il18	Il18rap
Il18	Il1rapl1
Il18	Il1rl2
Il19	Il20ra
Il19	Il20rb
Il1a	Il1r1
Il1a	Il1r2
Il1a	Il1rap
Il1b	Adrb2
Il1b	Il1r1
Il1b	Il1r2
Il1b	Il1rap
Il1f10	Il1r1
Il1f10	Il1rap
Il1f10	Il1rl2
Il36rn	Il1rap
Il36rn	Il1rl2
Il36b	Il36rn
Il36b	Il1rap
Il36b	Il1rl2
Il1rn	Il1r1
Il1rn	Il1r2
Il1rn	Il1rl2
Il20	Il20ra
Il20	Il20rb
Il20	Il22ra1
Il21	Il21r
Il21	Il2rg
Il22	Il10ra
Il22	Il10rb
Il22	Il22ra1
Il22	Il22ra2
Il23a	Il12rb1
Il23a	Il23r
Il24	Il20ra
Il24	Il20rb
Il24	Il22ra1
Il25	Il17ra
Il25	Il17rb
Il27	Il27ra
Il27	Il6st
Il2	Cd53
Il2	Il2ra
Il2	Il2rb
Il2	Il2rg
Il2	Ngfr
Il31	Il31ra
Il31	Osmr
Il33	Il1rap
Il33	Il1rl1
Il33	Kit
Il34	Csf1r
Il3	Csf2rb
Il3	Csf2rb2
Il3	Il2ra
Il3	Il3ra
Il3	Il4ra
Il4	Cd53
Il4	Il13ra1
Il4	Il13ra2
Il4	Il2ra
Il4	Il2rg
Il4	Il4ra
Il4	Tlr2
Il5	Csf2rb
Il5	Csf2rb2
Il5	Il5ra
Il6	Egfr
Il6	Il6ra
Il6	Il6st
Il7	Il2rg
Il7	Il7r
Il9	Il2rg
Il9	Il9r
Il22b	Il10ra
Il22b	Il10rb
Il22b	Il22ra1
Il22b	Il22ra2
Inha	Acvr2a
Inha	Acvr2b
Inha	Tgfbr3
Inhba	Acvr1
Inhba	Acvr1b
Inhba	Acvr1c
Inhba	Acvr2a
Inhba	Acvr2b
Inhba	Bambi
Inhba	Eng
Inhba	Tgfbr1
Inhba	Tgfbr3
Inhbb	Acvr1
Inhbb	Acvr1b
Inhbb	Acvr1c
Inhbb	Acvr2a
Inhbb	Acvr2b
Inhbc	Acvr1
Inhbc	Acvr1b
Inhbc	Acvr1c
Inhbc	Acvr2a
Inhbc	Acvr2b
Inhbe	Acvr1b
Inhbe	Acvr1c
Inhbe	Acvr2a
Inhbe	Acvr2b
Ins1	Insr
Ins2	Igf1r
Ins2	Insr
Ins2	Lrp2
Insl3	Rxfp1
Insl3	Rxfp2
Insl3	Rxfp3
Insl3	Rxfp4
Insl5	Rxfp1
Insl5	Rxfp2
Insl5	Rxfp3
Insl5	Rxfp4
Itga4	Vcam1
Itga9	Vcam1
Itgal	Cd226
Itgal	Icam1
Itgal	Icam2
Itgb1	Vcam1
Itgb1bp1	Itgb1
Itgb2	Cd226
Itgb2	Icam1
Itgb2	Icam2
Itgb2l	Cd226
Itgb2l	Icam1
Itgb2l	Icam2
Itgb3bp	Itgb3
Itgb3bp	Itgb5
Itgb7	Vcam1
Itih2	Fcer1a
Izumo1	Cd9
Izumo1	Izumo1r
Jag1	Notch1
Jag1	Notch2
Jag1	Notch3
Jag1	Notch4
Jag2	Notch1
Jag2	Notch2
Jag2	Notch3
Jag2	Notch4
Jam2	F11r
Jam2	Itga3
Jam2	Itga4
Jam2	Itgav
Jam2	Itgb1
Jam2	Jam2
Jam2	Jam3
Jam3	F11r
Jam3	Itga4
Jam3	Itgal
Jam3	Itgam
Jam3	Itgb1
Jam3	Itgb2
Jam3	Itgb2l
Jam3	Jam2
Jam3	Jam3
Kiss1	Kiss1r
Kiss1	Mmp24
Kitl	Epor
Kitl	Kit
Klk1b4	Ngfr
Klk1b4	Ntrk1
Kng1	Bdkrb1
Kng1	Bdkrb2
Kng1	Cd93
Kng1	Gp1ba
Kng1	Gpr135
Kng1	Itgb2
Kng1	Plaur
Kng1	Rxfp4
Kng2	Bdkrb1
Kng2	Bdkrb2
Kng2	Cd93
Kng2	Gp1ba
Kng2	Gpr135
Kng2	Itgb2
Kng2	Plaur
Kng2	Rxfp4
L1cam	Cntn1
L1cam	Egfr
L1cam	Erbb2
L1cam	Erbb3
L1cam	Itga4
L1cam	Itga5
L1cam	Itgav
L1cam	Itgb1
L1cam	Itgb3
L1cam	Itgb7
L1cam	L1cam
L1cam	Nrp1
Lair1	Pira2
Lama1	Cd44
Lama1	Dag1
Lama1	Itga1
Lama1	Itga2
Lama1	Itga3
Lama1	Itga6
Lama1	Itga7
Lama1	Itga9
Lama1	Itgav
Lama1	Itgb1
Lama1	Itgb4
Lama1	Itgb8
Lama1	Nt5e
Lama1	Rpsa
Lama1	Sv2a
Lama1	Sv2b
Lama1	Sv2c
Lama1	Tmprss6
Lama2	Cd44
Lama2	Dag1
Lama2	Itga1
Lama2	Itga2
Lama2	Itga3
Lama2	Itga6
Lama2	Itga7
Lama2	Itga9
Lama2	Itgav
Lama2	Itgb1
Lama2	Itgb4
Lama2	Itgb8
Lama2	Rpsa
Lama2	Sv2a
Lama2	Sv2b
Lama2	Sv2c
Lama3	Cd44
Lama3	Dag1
Lama3	Itga1
Lama3	Itga2
Lama3	Itga3
Lama3	Itga6
Lama3	Itga7
Lama3	Itga9
Lama3	Itgav
Lama3	Itgb1
Lama3	Itgb4
Lama3	Itgb8
Lama3	Sdc2
Lama3	Sv2a
Lama3	Sv2b
Lama3	Sv2c
Lama4	Cd44
Lama4	Dag1
Lama4	Itga1
Lama4	Itga2
Lama4	Itga3
Lama4	Itga6
Lama4	Itga7
Lama4	Itga9
Lama4	Itgav
Lama4	Itgb1
Lama4	Itgb4
Lama4	Itgb8
Lama4	Sv2a
Lama4	Sv2b
Lama4	Sv2c
Lama5	Bcam
Lama5	Cd44
Lama5	Dag1
Lama5	Itga1
Lama5	Itga2
Lama5	Itga3
Lama5	Itga6
Lama5	Itga7
Lama5	Itga9
Lama5	Itgav
Lama5	Itgb1
Lama5	Itgb4
Lama5	Itgb8
Lama5	Sv2a
Lama5	Sv2b
Lama5	Sv2c
Lamb1	Cd44
Lamb1	Dag1
Lamb1	Itga1
Lamb1	Itga2
Lamb1	Itga3
Lamb1	Itga6
Lamb1	Itga7
Lamb1	Itga9
Lamb1	Itgav
Lamb1	Itgb1
Lamb1	Itgb4
Lamb1	Itgb8
Lamb1	Sv2a
Lamb1	Sv2b
Lamb1	Sv2c
Lamb2	Cd44
Lamb2	Dag1
Lamb2	Itga1
Lamb2	Itga2
Lamb2	Itga3
Lamb2	Itga6
Lamb2	Itga7
Lamb2	Itga9
Lamb2	Itgav
Lamb2	Itgb1
Lamb2	Itgb4
Lamb2	Itgb8
Lamb2	Rpsa
Lamb2	Sv2a
Lamb2	Sv2b
Lamb2	Sv2c
Lamb3	Cd44
Lamb3	Dag1
Lamb3	Itga1
Lamb3	Itga2
Lamb3	Itga3
Lamb3	Itga6
Lamb3	Itga7
Lamb3	Itga9
Lamb3	Itgav
Lamb3	Itgb1
Lamb3	Itgb4
Lamb3	Itgb8
Lamb3	Sv2a
Lamb3	Sv2b
Lamb3	Sv2c
Lamc1	Cd44
Lamc1	Dag1
Lamc1	Itga1
Lamc1	Itga2
Lamc1	Itga3
Lamc1	Itga6
Lamc1	Itga7
Lamc1	Itga9
Lamc1	Itgav
Lamc1	Itgb1
Lamc1	Itgb4
Lamc1	Itgb8
Lamc1	Sv2a
Lamc1	Sv2b
Lamc1	Sv2c
Lamc2	Cd44
Lamc2	Dag1
Lamc2	Itga1
Lamc2	Itga2
Lamc2	Itga3
Lamc2	Itga6
Lamc2	Itga7
Lamc2	Itga9
Lamc2	Itgav
Lamc2	Itgb1
Lamc2	Itgb4
Lamc2	Itgb8
Lamc2	Sv2a
Lamc2	Sv2b
Lamc2	Sv2c
Lamc3	Cd44
Lamc3	Dag1
Lamc3	Itga1
Lamc3	Itga2
Lamc3	Itga3
Lamc3	Itga6
Lamc3	Itga7
Lamc3	Itga9
Lamc3	Itgav
Lamc3	Itgb1
Lamc3	Itgb4
Lamc3	Itgb8
Lamc3	Sv2a
Lamc3	Sv2b
Lamc3	Sv2c
Lck	Cd8a
Lck	Cd8b1
Lcn2	Lrp2
Lcn2	Slc22a17
Lefty1	Acvr1
Lefty1	Acvr1b
Lefty1	Acvr2a
Lefty1	Acvr2b
Lefty2	Acvr1b
Lefty2	Acvr2a
Lefty2	Acvr2b
Lep	Lepr
Lep	Leprot
Lep	Lrp2
Lgals3	Il13ra2
Lgals3	Itga3
Lgals3	Itgb1
Lgals3	Itgb3
Lgals3	Itgb4
Lgals3	Mag
Lgals3	Mertk
Lgals3bp	Itgb1
Lgals8	Itga3
Lgals9	Cd40
Lgals9	Cd44
Lgals9	Clec7a
Lgals9	Havcr2
Lgals9	Ighm
Lgals9	Ptprc
Lhb	Lhcgr
Lif	Il6st
Lif	Lifr
Lin7c	Abca1
Lin7c	Htr2c
Lipc	Ldlr
Lipc	Lrp1
Lipc	Scarb1
Liph	Lpar1
Liph	Lpar2
Liph	Lpar4
Lman1	Mcfd2
Lnx2	Cd8a
Lnx2	Cxadr
Lpl	Gpihbp1
Lpl	Lrp1
Lpl	Lrp2
Lpl	Sdc1
Lpl	Vldlr
Lrig1	Egfr
Lrp1b	Plaur
Lrpap1	Ldlr
Lrpap1	Lrp1
Lrpap1	Lrp2
Lrpap1	Lrp8
Lrpap1	Sorl1
Lrpap1	Sort1
Lrpap1	Vldlr
Lrrc4	Ntng2
Lrrc4b	Ptprf
Lrrc4c	Ntng1
Lta	Ltbr
Lta	Tnfrsf14
Lta	Tnfrsf1a
Lta	Tnfrsf1b
Ltb	Cd40
Ltb	Ltbr
Ltb	Tnfrsf1a
Ltbp1	Itgb5
Ltbp3	Itgb5
Ltf	Lrp1
Ltf	Lrp11
Ly86	Cd180
Ly9	Ly9
Lypd3	Agr2
Madcam1	Cd44
Madcam1	Itga4
Madcam1	Itgb7
Mag	Mag
Matn1	Itga1
Matn1	Itgb1
Mbl2	Calcr
Mbl2	Cd93
Mdk	Alk
Mdk	Itga4
Mdk	Itga6
Mdk	Itgb1
Mdk	Lrp1
Mdk	Lrp2
Mdk	Lrp6
Mdk	Ncl
Mdk	Ptprz1
Mdk	Sdc1
Mdk	Sdc2
Mdk	Sdc3
Mdk	Sdc4
Mdk	Tspan1
Mepe	Phex
Mfap2	Notch1
Mfap5	Notch1
Mfge8	Itgav
Mfge8	Itgb1
